delta,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-11,1.6,-0.854942,0.01351,-0.054,6.64772
0,-11,1.8,-0.851095,0.013,-0.0563,6.66192
0,-11,2,-0.849818,0.01258,-0.0592,6.50098
0,-11,2.2,-0.845535,0.01222,-0.0622,6.42504
0,-11,2.4,-0.843913,0.0119,-0.0657,6.3376
0,-11,2.6,-0.842911,0.01162,-0.0688,6.24225
0,-11,3.2,-0.841442,0.01112,-0.0727,6.01295
0,-10.8,0.2,-0.884335,0.02883,-0.0423,3.63881
0,-10.8,0.4,-0.87953,0.02171,-0.0437,5.14044
0,-10.8,0.6,-0.871452,0.01843,-0.0478,6.01245
0,-10.8,0.8,-0.861853,0.01655,-0.0495,6.40569
0,-10.8,1,-0.850785,0.01535,-0.0504,6.57946
0,-10.8,1.2,-0.842548,0.01443,-0.0517,6.61237
0,-10.8,1.4,-0.836534,0.01375,-0.0534,6.57625
0,-10.8,1.6,-0.832097,0.01321,-0.0561,6.44171
0,-10.8,1.8,-0.828255,0.01271,-0.0591,6.42478
0,-10.8,2,-0.827549,0.01228,-0.0624,6.25899
0,-10.8,2.2,-0.823563,0.01192,-0.066,6.16554
0,-10.8,2.4,-0.822262,0.01162,-0.0691,6.06894
0,-10.8,2.6,-0.821598,0.01138,-0.0713,5.97108
0,-10.8,3.2,-0.82094,0.01099,-0.0711,5.73601
0,-10.6,0.2,-0.870745,0.02839,-0.0392,4.14225
0,-10.6,0.4,-0.860976,0.02122,-0.0444,5.48471
0,-10.6,0.6,-0.850175,0.01802,-0.0483,6.17363
0,-10.6,0.8,-0.839433,0.01618,-0.0494,6.43701
0,-10.6,1,-0.827933,0.01503,-0.051,6.51195
0,-10.6,1.2,-0.819699,0.01412,-0.0526,6.47827
0,-10.6,1.4,-0.81389,0.01342,-0.0554,6.39799
0,-10.6,1.6,-0.809968,0.01286,-0.0586,6.23752
0,-10.6,1.8,-0.806236,0.0124,-0.0623,6.19216
0,-10.6,2,-0.806114,0.01201,-0.0659,6.02426
0,-10.6,2.2,-0.80248,0.01166,-0.0691,5.91569
0,-10.6,2.4,-0.80153,0.0114,-0.071,5.81188
0,-10.6,2.6,-0.80121,0.01121,-0.0714,5.71284
0,-10.6,3.2,-0.801378,0.01086,-0.0691,5.47496
0,-10.4,0.2,-0.85546,0.02799,-0.0359,4.60844
0,-10.4,0.4,-0.841279,0.02075,-0.0451,5.79508
0,-10.4,0.6,-0.828381,0.0176,-0.0484,6.30932
0,-10.4,0.8,-0.816934,0.01581,-0.0501,6.4511
0,-10.4,1,-0.805334,0.01468,-0.0515,6.43485
0,-10.4,1.2,-0.797326,0.0138,-0.0544,6.3407
0,-10.4,1.4,-0.791866,0.0131,-0.0577,6.22103
0,-10.4,1.6,-0.788544,0.01254,-0.0617,6.03904
0,-10.4,1.8,-0.785015,0.01209,-0.0654,5.9681
0,-10.4,2,-0.785479,0.01173,-0.0686,5.80053
0,-10.4,2.2,-0.782248,0.01147,-0.0705,5.67924
0,-10.4,2.4,-0.781669,0.01125,-0.0707,5.57007
0,-10.4,2.6,-0.781696,0.01109,-0.07,5.47107
0,-10.4,3.2,-0.782695,0.01077,-0.0669,5.23307
0,-10.2,0.2,-0.838619,0.02761,-0.0323,5.03362
0,-10.2,0.4,-0.820561,0.02021,-0.0453,6.06982
0,-10.2,0.6,-0.806157,0.01717,-0.0485,6.42001
0,-10.2,0.8,-0.794414,0.01548,-0.0501,6.44976
0,-10.2,1,-0.783017,0.01432,-0.0529,6.35078
0,-10.2,1.2,-0.775433,0.0135,-0.0564,6.20269
0,-10.2,1.4,-0.770453,0.0128,-0.0606,6.04859
0,-10.2,1.6,-0.767798,0.01225,-0.0644,5.84939
0,-10.2,1.8,-0.764557,0.01182,-0.0678,5.75586
0,-10.2,2,-0.765602,0.01151,-0.0697,5.59078
0,-10.2,2.2,-0.762813,0.0113,-0.07,5.45912
0,-10.2,2.4,-0.762622,0.01114,-0.0693,5.34636
0,-10.2,2.6,-0.762993,0.011,-0.0682,5.24846
0,-10.2,3.2,-0.764819,0.01067,-0.0648,5.0128
0,-10,0.2,-0.82037,0.02694,-0.0335,5.41516
0,-10,0.4,-0.798947,0.01973,-0.046,6.30792
0,-10,0.6,-0.783589,0.01678,-0.0491,6.50642
0,-10,0.8,-0.771923,0.01515,-0.0511,6.43465
0,-10,1,-0.761002,0.01399,-0.0545,6.26197
0,-10,1.2,-0.75402,0.01314,-0.0589,6.06675
0,-10,1.4,-0.749631,0.01252,-0.0631,5.88328
0,-10,1.6,-0.747694,0.012,-0.0668,5.67104
0,-10,1.8,-0.744815,0.01162,-0.0689,5.55798
0,-10,2,-0.746751,0.011375,-0.06865,5.40625
0,-10,2.2,-0.744114,0.01117,-0.0684,5.25753
0,-10,2.4,-0.744321,0.01103,-0.0672,5.14287
0,-10,2.6,-0.74503,0.01092,-0.0659,5.04702
0,-10,3.2,-0.747672,0.01059,-0.0627,4.81593
0,-9.8,0.2,-0.800867,0.02628,-0.0344,5.75144
0,-9.8,0.4,-0.776566,0.0193,-0.0461,6.50896
