delta_d,alpha,Re,Cl,Cd,Cm,Cl_alpha
0,-11.5,2.8,-0.903591,0.013902,-0.06396,3.94172
0,-11.5,2.9,-0.905409,0.013786,-0.06368,3.95374
0,-11.5,3,-0.907227,0.01367,-0.0634,3.96575
0,-11.5,3.1,-0.908698,0.013582,-0.0632,3.97279
0,-11.5,3.2,-0.91017,0.013494,-0.063,3.97984
0,-11.5,3.3,-0.911641,0.013406,-0.0628,3.98689
0,-11.5,3.4,-0.913113,0.013318,-0.0626,3.99394
0,-11.5,3.5,-0.914584,0.01323,-0.0624,4.00099
0,-11.5,3.6,-0.915843,0.013162,-0.06222,4.00697
0,-11.5,3.7,-0.917101,0.013094,-0.06204,4.01295
0,-11.5,3.8,-0.918359,0.013026,-0.06186,4.01892
0,-11.5,3.9,-0.919618,0.012958,-0.06168,4.0249
0,-11.5,4,-0.920876,0.01289,-0.0615,4.03088
0,-11,0.2,-0.702149,0.02887,-0.0775,3.20218
0,-11,0.3,-0.719987,0.02502,-0.0769,3.11669
0,-11,0.4,-0.742166,0.02269,-0.0753,3.20419
0,-11,0.5,-0.760789,0.02098,-0.0734,3.3246
0,-11,0.6,-0.775743,0.01987,-0.0721,3.46043
0,-11,0.7,-0.787922,0.01892,-0.0707,3.547
0,-11,0.8,-0.797797,0.01818,-0.0696,3.62518
0,-11,0.9,-0.806024,0.01762,-0.0687,3.69935
0,-11,1,-0.812955,0.01714,-0.068,3.75182
0,-11,1.1,-0.818515,0.016736,-0.06724,3.78915
0,-11,1.2,-0.824075,0.016332,-0.06648,3.82648
0,-11,1.3,-0.828919,0.015994,-0.06586,3.86005
0,-11,1.4,-0.833045,0.015722,-0.06538,3.88986
0,-11,1.5,-0.837172,0.01545,-0.0649,3.91967
0,-11,1.6,-0.840528,0.015222,-0.06442,3.93999
0,-11,1.7,-0.843884,0.014994,-0.06394,3.96032
0,-11,1.8,-0.846934,0.014788,-0.0635,3.97767
0,-11,1.9,-0.849679,0.014604,-0.0631,3.99205
0,-11,2,-0.852424,0.01442,-0.0627,4.00643
0,-11,2.1,-0.854608,0.014282,-0.0624,4.01863
0,-11,2.2,-0.856793,0.014144,-0.0621,4.03083
0,-11,2.3,-0.858977,0.014006,-0.0618,4.04303
0,-11,2.4,-0.861161,0.013868,-0.0615,4.05523
0,-11,2.5,-0.863345,0.01373,-0.0612,4.06744
0,-11,2.6,-0.865067,0.013628,-0.06096,4.07761
0,-11,2.7,-0.866789,0.013526,-0.06072,4.08778
0,-11,2.8,-0.86851,0.013424,-0.06048,4.09795
0,-11,2.9,-0.870232,0.013322,-0.06024,4.10813
0,-11,3,-0.871954,0.01322,-0.06,4.1183
0,-11,3.1,-0.873368,0.013134,-0.05976,4.12454
0,-11,3.2,-0.874782,0.013048,-0.05952,4.13077
0,-11,3.3,-0.876196,0.012962,-0.05928,4.13701
0,-11,3.4,-0.87761,0.012876,-0.05904,4.14324
0,-11,3.5,-0.879024,0.01279,-0.0588,4.14948
0,-11,3.6,-0.880233,0.01272,-0.05862,4.15484
0,-11,3.7,-0.881442,0.01265,-0.05844,4.16021
0,-11,3.8,-0.882652,0.01258,-0.05826,4.16558
0,-11,3.9,-0.883861,0.01251,-0.05808,4.17094
0,-11,4,-0.88507,0.01244,-0.0579,4.17631
0,-10.5,0.2,-0.673812,0.02745,-0.0744,3.2865
0,-10.5,0.3,-0.692259,0.02379,-0.0734,3.23464
0,-10.5,0.4,-0.713534,0.02157,-0.0715,3.35374
0,-10.5,0.5,-0.731034,0.0201,-0.0699,3.4903
0,-10.5,0.6,-0.744789,0.01896,-0.0683,3.62893
0,-10.5,0.7,-0.756174,0.01818,-0.0672,3.72423
0,-10.5,0.8,-0.765359,0.01747,-0.066,3.80431
0,-10.5,0.9,-0.772948,0.01691,-0.065,3.87613
0,-10.5,1,-0.77943,0.01645,-0.0642,3.92706
0,-10.5,1.1,-0.784668,0.016094,-0.06356,3.96372
0,-10.5,1.2,-0.789907,0.015738,-0.06292,4.00038
0,-10.5,1.3,-0.794465,0.015422,-0.06232,4.03247
0,-10.5,1.4,-0.798342,0.015146,-0.06176,4.05998
0,-10.5,1.5,-0.80222,0.01487,-0.0612,4.08748
0,-10.5,1.6,-0.805405,0.014666,-0.06076,4.10656
0,-10.5,1.7,-0.80859,0.014462,-0.06032,4.12564
0,-10.5,1.8,-0.811494,0.014276,-0.05994,4.142
0,-10.5,1.9,-0.814117,0.014108,-0.05962,4.15563
0,-10.5,2,-0.816741,0.01394,-0.0593,4.16926
0,-10.5,2.1,-0.818825,0.013804,-0.05896,4.18011
0,-10.5,2.2,-0.82091,0.013668,-0.05862,4.19097
0,-10.5,2.3,-0.822994,0.013532,-0.05828,4.20182
0,-10.5,2.4,-0.825079,0.013396,-0.05794,4.21268
0,-10.5,2.5,-0.827164,0.01326,-0.0576,4.22354
0,-10.5,2.6,-0.828802,0.013162,-0.05736,4.23258
0,-10.5,2.7,-0.83044,0.013064,-0.05712,4.24161
0,-10.5,2.8,-0.832079,0.012966,-0.05688,4.25065
0,-10.5,2.9,-0.833717,0.012868,-0.05664,4.25969
0,-10.5,3,-0.835355,0.01277,-0.0564,4.26873
0,-10.5,3.1,-0.836716,0.012696,-0.05622,4.27486
0,-10.5,3.2,-0.838076,0.012622,-0.05604,4.28099
0,-10.5,3.3,-0.839437,0.012548,-0.05586,4.28712
0,-10.5,3.4,-0.840798,0.012474,-0.05568,4.29325
0,-10.5,3.5,-0.842158,0.0124,-0.0555,4.29937
0,-10.5,3.6,-0.843321,0.01233,-0.0553,4.30471
0,-10.5,3.7,-0.844484,0.01226,-0.0551,4.31005
0,-10.5,3.8,-0.845647,0.01219,-0.0549,4.31539
0,-10.5,3.9,-0.84681,0.01212,-0.0547,4.32073
0,-10.5,4,-0.847973,0.01205,-0.0545,4.32607
0,-10,0.2,-0.644863,0.0262,-0.0711,3.34504
0,-10,0.3,-0.663582,0.02273,-0.0698,3.33531
0,-10,0.4,-0.683696,0.02065,-0.0679,3.48145
0,-10,0.5,-0.699944,0.01924,-0.0661,3.63119
0,-10,0.6,-0.712486,0.01823,-0.0646,3.76999
0,-10,0.7,-0.723007,0.01742,-0.0633,3.87256
0,-10,0.8,-0.731483,0.01683,-0.0624,3.95485
0,-10,0.9,-0.738455,0.0163,-0.0614,4.02452
0,-10,1,-0.744494,0.01585,-0.0606,4.07515
0,-10,1.1,-0.749411,0.015514,-0.05996,4.11253
0,-10,1.2,-0.754327,0.015178,-0.05932,4.14992
0,-10,1.3,-0.758606,0.014884,-0.05874,4.18186
0,-10,1.4,-0.762249,0.014632,-0.05822,4.20834
0,-10,1.5,-0.765892,0.01438,-0.0577,4.23483
0,-10,1.6,-0.768911,0.014172,-0.05722,4.25387
0,-10,1.7,-0.771931,0.013964,-0.05674,4.27291
0,-10,1.8,-0.774692,0.01378,-0.05634,4.28944
0,-10,1.9,-0.777196,0.01362,-0.05602,4.30348
0,-10,2,-0.779699,0.01346,-0.0557,4.31751
0,-10,2.1,-0.781691,0.013338,-0.0554,4.32813
0,-10,2.2,-0.783682,0.013216,-0.0551,4.33875
0,-10,2.3,-0.785674,0.013094,-0.0548,4.34938
0,-10,2.4,-0.787666,0.012972,-0.0545,4.36
0,-10,2.5,-0.789657,0.01285,-0.0542,4.37062
0,-10,2.6,-0.791219,0.01275,-0.05394,4.37929
0,-10,2.7,-0.79278,0.01265,-0.05368,4.38795
0,-10,2.8,-0.794342,0.01255,-0.05342,4.39662
0,-10,2.9,-0.795904,0.01245,-0.05316,4.40529
0,-10,3,-0.797465,0.01235,-0.0529,4.41395
0,-10,3.1,-0.798771,0.012276,-0.0527,4.42059
0,-10,3.2,-0.800076,0.012202,-0.0525,4.42722
0,-10,3.3,-0.801381,0.012128,-0.0523,4.43385
0,-10,3.4,-0.802687,0.012054,-0.0521,4.44048
0,-10,3.5,-0.803992,0.01198,-0.0519,4.44711
0,-10,3.6,-0.805107,0.011922,-0.05172,4.45292
0,-10,3.7,-0.806221,0.011864,-0.05154,4.45873
0,-10,3.8,-0.807336,0.011806,-0.05136,4.46455
0,-10,3.9,-0.808451,0.011748,-0.05118,4.47036
0,-10,4,-0.809565,0.01169,-0.051,4.47617
0,-9.5,0.2,-0.615465,0.02499,-0.0678,3.39162
0,-9.5,0.3,-0.634076,0.02178,-0.0663,3.42594
0,-9.5,0.4,-0.652819,0.01979,-0.0641,3.59281
0,-9.5,0.5,-0.667718,0.01848,-0.0623,3.75163
0,-9.5,0.6,-0.679057,0.01753,-0.0609,3.88815
0,-9.5,0.7,-0.688659,0.0168,-0.0597,3.99557
0,-9.5,0.8,-0.696409,0.0162,-0.0586,4.07969
0,-9.5,0.9,-0.702782,0.01572,-0.0578,4.1474
0,-9.5,1,-0.708377,0.01533,-0.0571,4.19857
