delta_d,delta_f,alpha,Re,Cl,Cd,Cm,Cl_alpha
0.0,0.0,-9.0,2.5,-0.710766,0.01208,-0.047,4.6365
0.0,0.0,-9.0,3.0,-0.717971,0.01166,-0.0457,4.68468
0.0,0.0,-9.0,3.5,-0.723926,0.01134,-0.0447,4.7251
0.0,0.0,-9.0,4.0,-0.728884,0.01106,-0.0437,4.76583
0.0,0.0,-8.5,0.2,-0.555411,0.0229,-0.0607,3.49289
0.0,0.0,-8.5,0.3,-0.572862,0.02006,-0.0586,3.60317
0.0,0.0,-8.5,0.4,-0.588364,0.01834,-0.0565,3.79017
0.0,0.0,-8.5,0.5,-0.600407,0.01716,-0.0547,3.95366
0.0,0.0,-8.5,0.6,-0.609459,0.01635,-0.0535,4.08008
0.0,0.0,-8.5,0.7,-0.617159,0.01567,-0.0522,4.18882
0.0,0.0,-8.5,0.8,-0.623408,0.01514,-0.0512,4.27401
0.0,0.0,-8.5,0.9,-0.628661,0.01473,-0.0505,4.32713
0.0,0.0,-8.5,1.0,-0.633335,0.01435,-0.0497,4.3911
0.0,0.0,-8.5,1.25,-0.643,0.01362,-0.0481,4.49914
0.0,0.0,-8.5,1.5,-0.650328,0.01311,-0.047,4.57127
0.0,0.0,-8.5,1.75,-0.656507,0.01267,-0.0458,4.63031
0.0,0.0,-8.5,2.0,-0.661697,0.01233,-0.0448,4.67845
0.0,0.0,-8.5,2.5,-0.669798,0.01182,-0.0433,4.75124
0.0,0.0,-8.5,3.0,-0.676552,0.01141,-0.0419,4.80669
0.0,0.0,-8.5,3.5,-0.682117,0.0111,-0.0407,4.85553
0.0,0.0,-8.5,4.0,-0.686698,0.01085,-0.0398,4.90144
0.0,0.0,-8.0,0.2,-0.524656,0.022,-0.0569,3.55812
0.0,0.0,-8.0,0.3,-0.541006,0.01927,-0.0545,3.69891
0.0,0.0,-8.0,0.4,-0.554868,0.01768,-0.0525,3.88697
0.0,0.0,-8.0,0.5,-0.565497,0.01663,-0.051,4.04683
0.0,0.0,-8.0,0.6,-0.573477,0.0158,-0.0495,4.16628
0.0,0.0,-8.0,0.7,-0.58024,0.0152,-0.0484,4.2718
0.0,0.0,-8.0,0.8,-0.585752,0.01471,-0.0475,4.35544
0.0,0.0,-8.0,0.9,-0.590552,0.0143,-0.0466,4.40608
0.0,0.0,-8.0,1.0,-0.594659,0.01396,-0.0459,4.47179
0.0,0.0,-8.0,1.25,-0.60336,0.01329,-0.0444,4.5844
0.0,0.0,-8.0,1.5,-0.610042,0.01278,-0.043,4.66046
0.0,0.0,-8.0,1.75,-0.615683,0.0124,-0.042,4.72467
0.0,0.0,-8.0,2.0,-0.62043,0.01208,-0.041,4.77801
0.0,0.0,-8.0,2.5,-0.627865,0.01157,-0.0394,4.85795
0.0,0.0,-8.0,3.0,-0.6341,0.01119,-0.0385,4.92138
0.0,0.0,-8.0,3.5,-0.639202,0.01087,-0.0377,4.97868
0.0,0.0,-8.0,4.0,-0.643361,0.0106,-0.037,5.02931
0.0,0.0,-7.5,0.2,-0.493263,0.02113,-0.0528,3.63975
