alpha,Re,Cl,Cd,Cm,Cl_alpha
-11.8,0.2,-0.906953,0.04257,-0.0462,-3.63177
-11.8,0.4,-1.02302,0.02704,-0.0388,1.77362
-11.8,0.5,-1.04651,0.02421,-0.0358,2.42673
-11.8,0.6,-1.06361,0.0222,-0.0326,2.88242
-11.8,0.8,-1.08777,0.01998,-0.0281,3.74766
-11.8,1,-1.10353,0.01838,-0.0246,4.33441
-11.8,1.2,-1.11232,0.01727,-0.0217,4.72439
-11.8,1.4,-1.11885,0.01652,-0.0196,5.03297
-11.8,1.6,-1.12414,0.01594,-0.0198,5.26601
-11.8,1.8,-1.1281,0.0153,-0.0205,5.44465
-11.8,2,-1.13115,0.01478,-0.0209,5.57988
-11.8,2.2,-1.1341,0.01434,-0.0213,5.66373
-11.8,2.4,-1.13642,0.01397,-0.0216,5.71436
-11.6,0.2,-0.918042,0.0414,-0.0443,-2.72297
-11.6,0.4,-1.01613,0.02634,-0.037,2.17697
-11.6,0.5,-1.03739,0.02368,-0.0339,2.79875
-11.6,0.6,-1.05295,0.02174,-0.0306,3.22691
-11.6,0.8,-1.0742,0.01958,-0.0264,4.02714
-11.6,1,-1.08799,0.01804,-0.0227,4.56892
-11.6,1.2,-1.0955,0.01697,-0.0198,4.91376
-11.6,1.4,-1.10101,0.01614,-0.0193,5.18651
-11.6,1.6,-1.10554,0.01552,-0.0202,5.39116
-11.6,1.8,-1.10892,0.01499,-0.0209,5.54349
-11.6,2,-1.11154,0.01448,-0.0213,5.65578
-11.6,2.2,-1.11422,0.01405,-0.0216,5.72684
-11.6,2.4,-1.11638,0.01369,-0.0218,5.76632
-11.4,0.2,-0.925978,0.04026,-0.0421,-1.82705
-11.4,0.4,-1.00782,0.02571,-0.0351,2.58366
-11.4,0.5,-1.02697,0.02319,-0.0319,3.17044
-11.4,0.6,-1.04109,0.0213,-0.0288,3.56975
-11.4,0.8,-1.05967,0.01921,-0.0246,4.30095
-11.4,1,-1.07165,0.01773,-0.0208,4.79377
-11.4,1.2,-1.07803,0.01665,-0.0188,5.09303
-11.4,1.4,-1.08265,0.01578,-0.0198,5.32954
-11.4,1.6,-1.08651,0.01514,-0.0206,5.50555
-11.4,1.8,-1.08941,0.01467,-0.0212,5.63177
-11.4,2,-1.09168,0.01419,-0.0217,5.72152
-11.4,2.2,-1.09413,0.01378,-0.0219,5.78009
-11.4,2.4,-1.09617,0.01343,-0.0219,5.80925
-11.2,0.2,-0.930825,0.0391,-0.0398,-0.955072
-11.2,0.4,-0.998099,0.02507,-0.0331,2.98642
-11.2,0.5,-1.01526,0.02272,-0.03,3.5356
-11.2,0.6,-1.02804,0.0209,-0.027,3.90534
-11.2,0.8,-1.04419,0.01887,-0.0226,4.56533
-11.2,1,-1.05454,0.01742,-0.0189,5.00681
-11.2,1.2,-1.05996,0.01628,-0.0193,5.26102
-11.2,1.4,-1.06382,0.01543,-0.0202,5.46163
-11.2,1.6,-1.06711,0.01479,-0.021,5.60935
-11.2,1.8,-1.06961,0.0143,-0.0216,5.7102
-11.2,2,-1.07161,0.01391,-0.0219,5.77829
-11.2,2.2,-1.07388,0.01351,-0.022,5.82489
-11.2,2.4,-1.07583,0.01317,-0.0221,5.84464
-11,0.2,-0.932684,0.03789,-0.0378,-0.116105
-11,0.4,-0.986985,0.02444,-0.0311,3.37918
-11,0.5,-1.0023,0.02225,-0.0283,3.88911
-11,0.6,-1.01384,0.02052,-0.0252,4.22907
-11,0.8,-1.02781,0.01853,-0.0207,4.81722
-11,1,-1.03671,0.01707,-0.0185,5.20635
-11,1.2,-1.04132,0.01593,-0.0198,5.41684
-11,1.4,-1.04454,0.01509,-0.0207,5.58253
-11,1.6,-1.04737,0.01446,-0.0215,5.70278
-11,1.8,-1.04955,0.01397,-0.0218,5.77947
-11,2,-1.05135,0.0136,-0.0221,5.82715
-11,2.2,-1.05348,0.01325,-0.0222,5.86248
-11,2.4,-1.05538,0.01292,-0.022,5.8738
-10.8,0.2,-0.931683,0.03667,-0.0358,0.682564
-10.8,0.4,-0.974525,0.02391,-0.0293,3.75694
-10.8,0.5,-0.988129,0.0218,-0.0264,4.22677
-10.8,0.6,-0.99853,0.02016,-0.0233,4.53719
-10.8,0.8,-1.01058,0.01811,-0.0184,5.05421
-10.8,1,-1.01821,0.01669,-0.0191,5.39115
-10.8,1.2,-1.02216,0.01559,-0.0203,5.55991
-10.8,1.4,-1.02486,0.01477,-0.0213,5.69217
-10.8,1.6,-1.02731,0.01415,-0.0217,5.78619
-10.8,1.8,-1.02927,0.01367,-0.022,5.84026
-10.8,2,-1.03093,0.01329,-0.0221,5.86909
-10.8,2.2,-1.03295,0.01299,-0.0221,5.89397
-10.8,2.4,-1.03483,0.01269,-0.0219,5.89787
-10.6,0.2,-0.927972,0.03544,-0.0338,1.43526
-10.6,0.4,-0.960779,0.02344,-0.0274,4.11567
-10.6,0.5,-0.972812,0.02138,-0.0244,4.54527
-10.6,0.6,-0.982181,0.01981,-0.0213,4.82674
-10.6,0.8,-0.992543,0.01767,-0.0177,5.27447
-10.6,1,-0.999091,0.01633,-0.0196,5.56034
-10.6,1.2,-1.00252,0.01525,-0.0209,5.68987
-10.6,1.4,-1.00481,0.01446,-0.0216,5.79062
-10.6,1.6,-1.00698,0.01386,-0.022,5.85995
-10.6,1.8,-1.00879,0.01338,-0.0221,5.89323
-10.6,2,-1.01038,0.01301,-0.0222,5.90497
-10.6,2.2,-1.01233,0.0127,-0.0219,5.92032
-10.6,2.4,-1.01421,0.01246,-0.0216,5.91783
-10.4,0.2,-0.921721,0.03422,-0.0318,2.13775
-10.4,0.4,-0.945818,0.023,-0.0254,4.45224
-10.4,0.5,-0.956422,0.02098,-0.0224,4.84204
-10.4,0.6,-0.964857,0.01947,-0.0193,5.09549
-10.4,0.8,-0.973773,0.01726,-0.0183,5.47664
-10.4,1,-0.97941,0.01598,-0.0202,5.71337
-10.4,1.2,-0.982448,0.01493,-0.0214,5.8066
-10.4,1.4,-0.984443,0.01417,-0.0219,5.87805
-10.4,1.6,-0.986411,0.01358,-0.0221,5.9245
-10.4,1.8,-0.988137,0.01311,-0.0223,5.93901
-10.4,2,-0.989714,0.01275,-0.022,5.93559
-10.4,2.2,-0.991628,0.01245,-0.0216,5.94241
-10.4,2.4,-0.993519,0.01221,-0.021,5.93455
-10.2,0.2,-0.91311,0.033,-0.0297,2.78708
-10.2,0.4,-0.929725,0.02256,-0.0235,4.76425
-10.2,0.5,-0.939036,0.02058,-0.0203,5.11519
-10.2,0.6,-0.946634,0.01914,-0.0172,5.3418
-10.2,0.8,-0.954331,0.01688,-0.0189,5.65986
-10.2,1,-0.959223,0.01557,-0.0208,5.85001
-10.2,1.2,-0.961995,0.01463,-0.0218,5.91014
-10.2,1.4,-0.963788,0.01389,-0.0222,5.95477
-10.2,1.6,-0.965631,0.01331,-0.0223,5.98032
-10.2,1.8,-0.967336,0.01286,-0.0221,5.97823
-10.2,2,-0.968948,0.0125,-0.0217,5.96166
-10.2,2.2,-0.970852,0.01221,-0.0211,5.96098
-10.2,2.4,-0.972778,0.01198,-0.0204,5.94876
-10,0.2,-0.902328,0.03179,-0.0277,3.3814
-10,0.4,-0.912588,0.02212,-0.0215,5.05003
-10,0.5,-0.92074,0.02008,-0.018,5.36347
-10,0.6,-0.927592,0.01873,-0.017,5.56462
-10,0.8,-0.934283,0.01653,-0.0196,5.82363
-10,1,-0.938588,0.01518,-0.0212,5.97029
-10,1.2,-0.941203,0.01434,-0.0222,6.00072
-10,1.4,-0.942883,0.01361,-0.0224,6.02118
-10,1.6,-0.94467,0.01306,-0.0223,6.02793
-10,1.8,-0.946408,0.01262,-0.0219,6.01146
-10,2,-0.948098,0.01228,-0.0212,5.98381
-10,2.2,-0.950016,0.012,-0.0205,5.97669
-10,2.4,-0.951991,0.01176,-0.0197,5.96108
-9.8,0.2,-0.889568,0.0306,-0.0256,3.91988
-9.8,0.4,-0.894501,0.0217,-0.0194,5.30851
-9.8,0.5,-0.901622,0.01968,-0.0157,5.58614
-9.8,0.6,-0.907814,0.01829,-0.0177,5.76335
-9.8,0.8,-0.913697,0.01618,-0.0203,5.9678
-9.8,1,-0.917561,0.01485,-0.0218,6.07443
-9.8,1.2,-0.920117,0.01404,-0.0223,6.0787
-9.8,1.4,-0.921764,0.01336,-0.0225,6.07772
-9.8,1.6,-0.923557,0.01282,-0.0222,6.06787
-9.8,1.8,-0.925374,0.0124,-0.0215,6.03927
-9.8,2,-0.927177,0.01206,-0.0207,6.00261
-9.8,2.2,-0.929129,0.01179,-0.0199,5.9901
-9.8,2.4,-0.931163,0.01156,-0.0191,5.97203
-9.6,0.2,-0.875027,0.02948,-0.0236,4.40252
-9.6,0.4,-0.87556,0.02129,-0.0173,5.53917
-9.6,0.5,-0.881772,0.0192,-0.0163,5.78292
-9.6,0.6,-0.887384,0.01786,-0.0184,5.93786
-9.6,0.8,-0.892642,0.01583,-0.0209,6.09253
-9.6,1,-0.896199,0.01454,-0.022,6.16287
-9.6,1.2,-0.89878,0.0137,-0.0225,6.14454
-9.6,1.4,-0.900464,0.01312,-0.0225,6.12492
-9.6,1.6,-0.902316,0.01259,-0.0219,6.10068
-9.6,1.8,-0.904252,0.01218,-0.021,6.06221
-9.6,2,-0.906195,0.01186,-0.0201,6.01856
-9.6,2.2,-0.908199,0.01159,-0.0193,6.0017
-9.6,2.4,-0.910299,0.01137,-0.0186,5.98205
-9.4,0.2,-0.858897,0.02872,-0.0219,4.83009
-9.4,0.4,-0.855863,0.02088,-0.0151,5.74194
-9.4,0.5,-0.861279,0.01876,-0.0171,5.95396
-9.4,0.6,-0.866388,0.01731,-0.0191,6.08836
-9.4,0.8,-0.871185,0.01548,-0.0217,6.19823
-9.4,1,-0.874554,0.01425,-0.0225,6.23619
-9.4,1.2,-0.877233,0.01341,-0.0226,6.19882
-9.4,1.4,-0.879014,0.01285,-0.0222,6.16335
-9.4,1.6,-0.880973,0.01238,-0.0214,6.12695
-9.4,1.8,-0.883057,0.01199,-0.0205,6.08079
-9.4,2,-0.885162,0.01167,-0.0195,6.03211
-9.4,2.2,-0.887231,0.01141,-0.0187,6.0119
-9.4,2.4,-0.889401,0.01119,-0.018,5.99149
-9.2,0.2,-0.841369,0.02819,-0.0201,5.20396
-9.2,0.4,-0.835506,0.02036,-0.0151,5.91717
-9.2,0.5,-0.840235,0.01832,-0.0179,6.09972
-9.2,0.6,-0.844907,0.01688,-0.0197,6.21538
-9.2,0.8,-0.849392,0.01515,-0.022,6.28553
-9.2,1,-0.852679,0.01396,-0.0226,6.29512
-9.2,1.2,-0.855516,0.01315,-0.0225,6.24219
-9.2,1.4,-0.857445,0.01258,-0.0218,6.19363
-9.2,1.6,-0.859549,0.01219,-0.021,6.14723
-9.2,1.8,-0.861804,0.0118,-0.0199,6.09549
-9.2,2,-0.864085,0.01149,-0.019,6.04366
-9.2,2.2,-0.86623,0.01124,-0.0182,6.02106
-9.2,2.4,-0.868471,0.01102,-0.0175,6.00064
-9,0.2,-0.822627,0.0277,-0.0183,5.52607
-9,0.4,-0.814584,0.01982,-0.0159,6.06554
-9,0.5,-0.818724,0.01789,-0.0187,6.22101
-9,0.6,-0.823023,0.01649,-0.0206,6.31971
-9,0.8,-0.827325,0.01484,-0.0225,6.35523
-9,1,-0.830622,0.01368,-0.0229,6.34048
-9,1.2,-0.833666,0.0129,-0.0223,6.27536
-9,1.4,-0.835783,0.01234,-0.0214,6.21637
-9,1.6,-0.838064,0.01195,-0.0203,6.16209
-9,1.8,-0.840506,0.01163,-0.0194,6.10679
-9,2,-0.842971,0.01132,-0.0185,6.05354
-9,2.2,-0.845197,0.01107,-0.0177,6.02947
-9,2.4,-0.847509,0.01087,-0.0171,6.00972
-8.8,0.2,-0.802847,0.02718,-0.0165,5.79876
-8.8,0.4,-0.79319,0.0193,-0.0168,6.18805
-8.8,0.5,-0.796831,0.01747,-0.0195,6.31883
-8.8,0.6,-0.800812,0.01613,-0.0212,6.40239
-8.8,0.8,-0.805043,0.01451,-0.0226,6.4083
-8.8,1,-0.808429,0.01342,-0.0227,6.37317
-8.8,1.2,-0.811717,0.01267,-0.022,6.29909
-8.8,1.4,-0.814054,0.01213,-0.0208,6.23224
-8.8,1.6,-0.816535,0.01173,-0.0197,6.17211
-8.8,1.8,-0.819174,0.01144,-0.0188,6.1151
-8.8,2,-0.821825,0.01117,-0.018,6.06207
-8.8,2.2,-0.824137,0.01092,-0.0173,6.03737
-8.8,2.4,-0.826515,0.01072,-0.0167,6.0189
-8.6,0.2,-0.782198,0.02662,-0.0146,6.02476
-8.6,0.4,-0.771412,0.01873,-0.0176,6.28591
-8.6,0.5,-0.774636,0.01705,-0.0203,6.39442
-8.6,0.6,-0.778349,0.01578,-0.0218,6.46461
-8.6,0.8,-0.782604,0.01414,-0.0229,6.4458
-8.6,1,-0.786142,0.01318,-0.0226,6.39417
-8.6,1.2,-0.7897,0.01245,-0.0215,6.31416
-8.6,1.4,-0.792281,0.01193,-0.0203,6.24189
-8.6,1.6,-0.79498,0.01154,-0.0191,6.17782
-8.6,1.8,-0.797818,0.01124,-0.0182,6.12085
-8.6,2,-0.800651,0.01101,-0.0175,6.0695
-8.6,2.2,-0.803049,0.01078,-0.0169,6.04495
-8.6,2.4,-0.805489,0.01058,-0.0163,6.0283
-8.4,0.2,-0.760837,0.02599,-0.0128,6.20706
-8.4,0.4,-0.749333,0.0183,-0.0185,6.36054
-8.4,0.5,-0.752214,0.01665,-0.021,6.44919
-8.4,0.6,-0.755703,0.01544,-0.0222,6.50771
-8.4,0.8,-0.76006,0.01384,-0.0229,6.46889
-8.4,1,-0.763801,0.01294,-0.0224,6.4045
-8.4,1.2,-0.767645,0.01224,-0.021,6.32138
-8.4,1.4,-0.770484,0.01173,-0.0197,6.24598
-8.4,1.6,-0.773411,0.01135,-0.0186,6.17976
-8.4,1.8,-0.776445,0.01106,-0.0177,6.1244
-8.4,2,-0.779453,0.01083,-0.017,6.07607
-8.4,2.2,-0.781935,0.01064,-0.0165,6.05238
-8.4,2.4,-0.784429,0.01045,-0.0159,6.03801
-8.2,0.2,-0.738912,0.02532,-0.0109,6.34886
-8.2,0.4,-0.727032,0.01791,-0.0194,6.41352
-8.2,0.5,-0.729635,0.01622,-0.0218,6.48463
-8.2,0.6,-0.732938,0.0151,-0.0227,6.53317
-8.2,0.8,-0.737458,0.01357,-0.0228,6.47882
-8.2,1,-0.741441,0.01268,-0.0219,6.4052
-8.2,1.2,-0.745577,0.01205,-0.0205,6.32158
-8.2,1.4,-0.748682,0.01156,-0.0192,6.24515
-8.2,1.6,-0.75184,0.01119,-0.0181,6.17845
-8.2,1.8,-0.755063,0.0109,-0.0173,6.12612
-8.2,2,-0.758233,0.01067,-0.0166,6.08196
-8.2,2.2,-0.760795,0.01048,-0.016,6.05977
-8.2,2.4,-0.763335,0.01033,-0.0156,6.04807
-8,0.2,-0.716557,0.02465,-0.0091,6.45352
-8,0.4,-0.704582,0.01751,-0.0203,6.44654
-8,0.5,-0.706963,0.01583,-0.022,6.50238
-8,0.6,-0.710112,0.0148,-0.0228,6.5425
-8,0.8,-0.714843,0.01331,-0.0227,6.47684
